#name network latitude longitude useless depth
STA_0_10 A 0 10 0 0
STA_0_20 A 0 20 0 0
STA_0_30 A 0 30 0 0
STA_0_40 A 0 40 0 0
STA_0_50 A 0 50 0 0
STA_0_60 A 0 60 0 0
STA_0_70 A 0 70 0 0
STA_0_80 A 0 80 0 0
STA_0_90 A 0 90 0 0
STA_0_100 A 0 100 0 0
STA_0_110 A 0 110 0 0
STA_0_120 A 0 120 0 0
STA_0_130 A 0 130 0 0
STA_0_140 A 0 140 0 0
STA_0_150 A 0 150 0 0
STA_0_160 A 0 160 0 0
STA_0_170 A 0 170 0 0
STA_0_180 A 0 180 0 0
STA_10_-180 A 10 -180 0 0
STA_10_-170 A 10 -170 0 0
STA_10_-160 A 10 -160 0 0
STA_10_-150 A 10 -150 0 0
STA_10_-140 A 10 -140 0 0
STA_10_-130 A 10 -130 0 0
STA_10_-120 A 10 -120 0 0
STA_10_-110 A 10 -110 0 0
STA_10_-100 A 10 -100 0 0
STA_10_-90 A 10 -90 0 0
STA_10_-80 A 10 -80 0 0
STA_10_-70 A 10 -70 0 0
STA_10_-60 A 10 -60 0 0
STA_10_-50 A 10 -50 0 0
STA_10_-40 A 10 -40 0 0
STA_10_-30 A 10 -30 0 0
STA_10_-20 A 10 -20 0 0
STA_10_-10 A 10 -10 0 0
STA_10_0 A 10 0 0 0
STA_10_10 A 10 10 0 0
STA_10_20 A 10 20 0 0
STA_10_30 A 10 30 0 0
STA_10_40 A 10 40 0 0
STA_10_50 A 10 50 0 0
STA_10_60 A 10 60 0 0
STA_10_70 A 10 70 0 0
STA_10_80 A 10 80 0 0
STA_10_90 A 10 90 0 0
STA_10_100 A 10 100 0 0
STA_10_110 A 10 110 0 0
STA_10_120 A 10 120 0 0
STA_10_130 A 10 130 0 0
STA_10_140 A 10 140 0 0
STA_10_150 A 10 150 0 0
STA_10_160 A 10 160 0 0
STA_10_170 A 10 170 0 0
STA_10_180 A 10 180 0 0
STA_20_-180 A 20 -180 0 0
STA_20_-170 A 20 -170 0 0
STA_20_-160 A 20 -160 0 0
STA_20_-150 A 20 -150 0 0
STA_20_-140 A 20 -140 0 0
STA_20_-130 A 20 -130 0 0
STA_20_-120 A 20 -120 0 0
STA_20_-110 A 20 -110 0 0
STA_20_-100 A 20 -100 0 0
STA_20_-90 A 20 -90 0 0
STA_20_-80 A 20 -80 0 0
STA_20_-70 A 20 -70 0 0
STA_20_-60 A 20 -60 0 0
STA_20_-50 A 20 -50 0 0
STA_20_-40 A 20 -40 0 0
STA_20_-30 A 20 -30 0 0
STA_20_-20 A 20 -20 0 0
STA_20_-10 A 20 -10 0 0
STA_20_0 A 20 0 0 0
STA_20_10 A 20 10 0 0
STA_20_20 A 20 20 0 0
STA_20_30 A 20 30 0 0
STA_20_40 A 20 40 0 0
STA_20_50 A 20 50 0 0
STA_20_60 A 20 60 0 0
STA_20_70 A 20 70 0 0
STA_20_80 A 20 80 0 0
STA_20_90 A 20 90 0 0
STA_20_100 A 20 100 0 0
STA_20_110 A 20 110 0 0
STA_20_120 A 20 120 0 0
STA_20_130 A 20 130 0 0
STA_20_140 A 20 140 0 0
STA_20_150 A 20 150 0 0
STA_20_160 A 20 160 0 0
STA_20_170 A 20 170 0 0
STA_20_180 A 20 180 0 0
STA_30_-180 A 30 -180 0 0
STA_30_-170 A 30 -170 0 0
STA_30_-160 A 30 -160 0 0
STA_30_-150 A 30 -150 0 0
STA_30_-140 A 30 -140 0 0
STA_30_-130 A 30 -130 0 0
STA_30_-120 A 30 -120 0 0
STA_30_-110 A 30 -110 0 0
STA_30_-100 A 30 -100 0 0
STA_30_-90 A 30 -90 0 0
STA_30_-80 A 30 -80 0 0
STA_30_-70 A 30 -70 0 0
STA_30_-60 A 30 -60 0 0
STA_30_-50 A 30 -50 0 0
STA_30_-40 A 30 -40 0 0
STA_30_-30 A 30 -30 0 0
STA_30_-20 A 30 -20 0 0
STA_30_-10 A 30 -10 0 0
STA_30_0 A 30 0 0 0
STA_30_10 A 30 10 0 0
STA_30_20 A 30 20 0 0
STA_30_30 A 30 30 0 0
STA_30_40 A 30 40 0 0
STA_30_50 A 30 50 0 0
STA_30_60 A 30 60 0 0
STA_30_70 A 30 70 0 0
STA_30_80 A 30 80 0 0
STA_30_90 A 30 90 0 0
STA_30_100 A 30 100 0 0
STA_30_110 A 30 110 0 0
STA_30_120 A 30 120 0 0
STA_30_130 A 30 130 0 0
STA_30_140 A 30 140 0 0
STA_30_150 A 30 150 0 0
STA_30_160 A 30 160 0 0
STA_30_170 A 30 170 0 0
STA_30_180 A 30 180 0 0
STA_40_-180 A 40 -180 0 0
STA_40_-170 A 40 -170 0 0
STA_40_-160 A 40 -160 0 0
STA_40_-150 A 40 -150 0 0
STA_40_-140 A 40 -140 0 0
STA_40_-130 A 40 -130 0 0
STA_40_-120 A 40 -120 0 0
STA_40_-110 A 40 -110 0 0
STA_40_-100 A 40 -100 0 0
STA_40_-90 A 40 -90 0 0
STA_40_-80 A 40 -80 0 0
STA_40_-70 A 40 -70 0 0
STA_40_-60 A 40 -60 0 0
STA_40_-50 A 40 -50 0 0
STA_40_-40 A 40 -40 0 0
STA_40_-30 A 40 -30 0 0
STA_40_-20 A 40 -20 0 0
STA_40_-10 A 40 -10 0 0
STA_40_0 A 40 0 0 0
STA_40_10 A 40 10 0 0
STA_40_20 A 40 20 0 0
STA_40_30 A 40 30 0 0
STA_40_40 A 40 40 0 0
STA_40_50 A 40 50 0 0
STA_40_60 A 40 60 0 0
STA_40_70 A 40 70 0 0
STA_40_80 A 40 80 0 0
STA_40_90 A 40 90 0 0
STA_40_100 A 40 100 0 0
STA_40_110 A 40 110 0 0
STA_40_120 A 40 120 0 0
STA_40_130 A 40 130 0 0
STA_40_140 A 40 140 0 0
STA_40_150 A 40 150 0 0
STA_40_160 A 40 160 0 0
STA_40_170 A 40 170 0 0
STA_40_180 A 40 180 0 0
STA_50_-180 A 50 -180 0 0
STA_50_-170 A 50 -170 0 0
STA_50_-160 A 50 -160 0 0
STA_50_-150 A 50 -150 0 0
STA_50_-140 A 50 -140 0 0
STA_50_-130 A 50 -130 0 0
STA_50_-120 A 50 -120 0 0
STA_50_-110 A 50 -110 0 0
STA_50_-100 A 50 -100 0 0
